iter	Logloss
0	0.6861448288
1	0.6791134238
2	0.6722559452
3	0.665816617
4	0.6593084693
5	0.6532224894
6	0.6470316291
7	0.6431354523
8	0.6371902704
9	0.6334404588
10	0.6280002594
11	0.6227255106
12	0.6191893339
13	0.6138275862
14	0.6089086652
15	0.6055789828
16	0.6008733034
17	0.5976661086
18	0.5931577682
19	0.5884246647
20	0.5853989005
21	0.5811915576
22	0.5782677591
23	0.57538414
24	0.5714131832
25	0.5686294854
26	0.5658857822
27	0.5621356487
28	0.5581041932
29	0.5555087447
30	0.5529561937
31	0.5491291285
32	0.546662128
33	0.542970413
34	0.540594101
35	0.5370328605
36	0.5347344279
37	0.5324748039
38	0.5302399278
39	0.5280363083
40	0.5258627474
41	0.5237209499
42	0.5205132008
43	0.5173765481
44	0.5153455317
45	0.5123138547
46	0.5103495836
47	0.5074237823
48	0.5055219293
49	0.5036514878
50	0.501800549
51	0.4999775708
52	0.4981715977
53	0.4963974476
54	0.4946390867
55	0.4929026961
56	0.4911934078
57	0.4895138025
58	0.4878515959
59	0.4862108231
60	0.4845896721
61	0.4829920352
62	0.4814119279
63	0.4798478603
64	0.478310889
65	0.4767857075
66	0.47528283
67	0.473798269
68	0.4723319054
69	0.4708848238
70	0.4694546223
71	0.4680372179
72	0.4666410029
73	0.4652607024
74	0.4638993919
75	0.462550503
76	0.4612206638
77	0.4599062562
78	0.4586066782
79	0.4573246002
80	0.4560549974
81	0.4548050106
82	0.453567034
83	0.4523415744
84	0.4511334002
85	0.4499383688
86	0.4487615764
87	0.4475957572
88	0.4464397967
89	0.4452989221
90	0.4441728115
91	0.4430585504
92	0.4419613659
93	0.4408746839
94	0.4397974849
95	0.4387329936
96	0.4376830161
97	0.4366434038
98	0.435616371
99	0.4346024841
