iter	Passed	Remaining
0	136	13496
1	136	6696
2	136	4428
3	137	3289
4	137	2608
5	137	2152
6	137	1827
7	137	1583
8	137	1394
9	138	1242
10	138	1118
11	138	1014
12	138	926
13	138	851
14	138	786
15	138	728
16	138	678
17	139	633
18	139	593
19	139	557
20	139	524
21	139	494
22	139	467
23	139	442
24	139	419
25	140	398
26	140	379
27	140	360
28	140	343
29	140	328
30	140	313
31	140	299
32	140	286
33	141	273
34	141	262
35	141	251
36	141	240
37	141	231
38	141	221
39	141	212
40	142	204
41	142	196
42	142	188
43	142	181
44	142	174
45	142	167
46	142	161
47	143	154
48	143	149
49	143	143
50	143	137
51	143	132
52	143	127
53	143	122
54	144	117
55	144	113
56	144	108
57	144	104
58	144	100
59	144	96
60	144	92
61	145	88
62	145	85
63	145	81
64	145	78
65	145	74
66	145	71
67	145	68
68	145	65
69	146	62
70	146	59
71	146	56
72	146	54
73	146	51
74	146	48
75	146	46
76	146	43
77	147	41
78	147	39
79	147	36
80	147	34
81	147	32
82	147	30
83	147	28
84	148	26
85	148	24
86	148	22
87	148	20
88	148	18
89	148	16
90	148	14
91	149	12
92	149	11
93	149	9
94	149	7
95	149	6
96	149	4
97	149	3
98	150	1
99	150	0
